author_id,book_id
1,1
1,2
2,2
3,3
4,3
5,3
6,3
7,3
8,4
9,5
10,5
11,6
12,6
13,7
14,7
15,8
16,9
17,10
18,11
19,11
20,12
21,12
22,12
23,12
24,12
25,13
26,13
27,13
28,13
29,13
30,14
31,14
32,15
33,15
34,15
35,16
36,16
37,16
38,16
39,16
40,17
41,17
42,17
43,17
44,18
45,18
46,18
47,18
48,19
49,19
50,20
51,20
52,21
53,22
54,22
55,22
13,23
14,23
56,24
57,24
58,25
59,26
60,27
61,27
62,28
63,28
64,29
65,29
66,29
67,30
68,31
69,32
70,32
71,32
72,33
73,34
74,35
75,35
76,35
77,35
78,36
77,36
76,36
79,37
80,37
81,38
82,38
83,39
84,40
85,40
86,41
87,42
88,43
89,44
90,45
91,46
92,46
93,46
94,46
95,47
96,47
97,48
98,48
99,48
100,50
101,50
102,51
103,51
104,51
105,52
106,53
107,54
108,54
109,55
110,55
111,56
112,56
113,57
114,58
115,58
116,59
117,59
118,59
119,60
52,60
120,61
121,61
122,62
123,63
124,63
125,64
126,65
127,66
128,67
129,67
130,68
131,68
132,68
133,69
133,70
134,71
135,72
136,72
137,72
138,73
139,73
140,74
141,74
142,75
143,75
144,76
145,76
146,76
147,76
148,76
149,77
150,78
151,78
152,78
153,79
154,79
155,79
156,80
157,81
158,81
159,82
160,82
161,82
162,83
163,83
164,83
165,83
166,83
167,84
168,84
169,85
170,86
171,87
172,88
173,88
174,88
175,89
176,90
177,90
178,90
179,91
180,92
181,92
182,93
183,93
184,93
185,94
186,94
187,94
188,95
189,95
190,95
191,95
192,95
193,96
194,96
195,96
196,96
197,97
198,97
199,98
200,98
201,98
202,99
203,100
204,100
205,101
206,102
207,102
208,103
209,104
210,104
211,105
212,105
213,105
214,106
215,106
216,106
217,107
218,107
219,107
220,108
221,109
222,109
223,110
224,111
225,111
226,111
227,112
228,112
229,113
230,113
231,114
232,114
233,114
234,115
235,116
236,117
237,117
238,118
239,118
240,119
241,119
242,119
243,119
244,120
245,121
246,121
247,122
238,123
239,123
248,124
249,124
250,125
251,125
252,126
253,126
254,126
255,127
256,127
257,127
258,128
259,128
260,128
261,128
262,129
263,129
264,130
265,130
266,130
267,130
268,131
269,132
270,132
271,132
272,133
273,133
274,133
275,133
276,134
277,134
278,135
279,135
280,135
281,135
282,136
283,136
284,137
285,138
286,139
287,139
288,139
289,140
290,141
291,142
292,142
293,142
294,143
295,143
296,143
297,143
262,144
263,144
298,144
299,145
300,145
301,146
302,147
303,148
304,149
305,149
306,149
307,149
308,150
309,151
310,151
311,151
312,152
313,152
314,152
315,154
316,154
317,154
318,155
319,155
320,156
320,157
321,158
322,159
323,160
324,160
325,161
326,162
327,163
328,164
329,164
330,165
331,169
332,170
333,171
334,172
335,172
336,172
337,173
338,173
339,174
340,175
341,175
342,175
343,176
344,176
345,176
346,177
347,178
348,179
349,179
350,180
351,181
352,182
353,183
354,183
355,184
356,185
357,186
358,187
359,188
360,188
361,189
362,190
363,190
361,191
364,192
365,193
366,193
367,193
368,194
369,194
370,195
371,195
372,196
373,197
374,197
375,197
376,198
377,198
378,198
379,199
380,199
148,199
381,199
382,200
383,200
384,200
385,200
386,201
387,201
388,202
389,203
390,203
391,204
392,205
393,205
394,205
395,206
396,206
397,207
398,207
399,207
400,208
401,208
402,208
403,208
404,209
405,209
406,210
407,211
408,211
409,212
410,213
411,213
412,214
413,214
414,214
415,215
416,215
417,215
418,216
419,216
420,216
421,217
422,217
423,218
424,218
425,218
426,219
427,219
428,220
429,220
430,220
431,220
432,220
433,221
434,221
435,222
436,222
437,222
438,222
439,223
440,223
441,223
442,224
443,225
444,225
445,225
446,226
447,226
448,226
449,226
450,227
451,227
452,227
453,227
454,228
455,229
456,230
457,230
458,230
459,231
460,231
461,231
462,231
463,231
464,232
465,233
466,233
467,234
468,234
469,234
470,235
471,236
472,237
473,237
474,238
475,238
476,238
477,239
478,239
479,240
480,240
481,241
482,241
483,242
484,243
485,243
486,244
487,245
488,245
489,245
490,246
491,246
492,247
308,248
493,249
494,250
495,251
496,252
497,253
497,254
498,255
499,255
500,256
501,256
502,257
503,257
504,258
505,258
506,259
507,259
508,259
509,259
510,259
325,260
511,261
512,261
513,262
514,263
515,263
516,263
517,264
518,265
519,265
520,265
521,265
522,265
523,266
524,266
525,267
526,268
527,268
528,269
529,269
530,269
531,270
525,271
532,272
533,272
532,273
533,273
534,274
535,274
536,275
537,276
538,276
539,276
540,276
541,276
542,277
543,278
544,278
545,278
546,279
547,280
548,280
549,281
550,281
551,282
552,282
553,283
554,283
555,284
556,284
557,284
558,285
559,285
560,285
561,286
562,287
563,287
564,288
565,289
566,289
567,290
568,290
537,291
538,291
539,291
540,291
541,291
569,292
570,292
571,292
572,293
573,294
574,294
575,295
576,296
577,296
576,297
577,297
578,298
579,299
580,299
581,300
582,300
583,301
584,301
585,301
586,303
587,303
588,303
589,303
590,304
591,304
576,305
577,305
592,306
593,306
594,307
595,308
596,308
597,309
598,309
542,310
599,311
517,312
600,313
601,314
602,315
602,316
603,317
604,317
605,317
606,317
576,318
577,318
602,319
607,320
608,321
609,322
610,322
611,322
612,323
613,323
614,323
615,324
616,325
617,326
618,326
619,327
620,327
621,328
622,329
623,330
624,331
625,332
626,333
627,333
628,333
497,334
629,335
630,335
631,336
632,337
633,338
634,339
635,339
636,340
637,340
638,340
639,340
640,341
641,342
642,342
643,342
644,342
645,343
646,343
647,343
648,344
649,345
650,346
651,346
652,347
653,347
654,347
655,347
656,347
657,348
658,349
659,350
660,350
661,350
662,351
663,351
664,351
665,352
666,353
667,353
668,354
669,355
670,356
671,356
672,356
673,357
674,357
675,358
676,358
677,358
678,358
679,358
680,359
681,359
682,360
683,360
684,360
685,360
686,361
687,361
688,362
689,362
690,362
691,362
692,362
693,363
694,363
695,364
696,364
697,364
698,364
699,365
700,366
701,367
702,368
703,368
704,369
705,369
706,370
707,371
708,371
709,372
710,373
711,373
712,373
713,373
714,373
715,375
716,375
717,376
718,376
719,376
720,377
721,377
722,378
723,378
724,379
725,380
726,381
727,382
728,382
729,382
730,382
731,382
732,383
733,384
734,384
735,385
736,385
737,385
738,386
739,386
740,387
741,388
742,388
743,388
744,389
745,389
746,390
747,390
748,390
749,391
750,392
751,392
752,392
753,392
754,393
755,394
756,394
757,395
79,395
758,395
759,396
760,397
761,398
762,398
763,399
764,400
765,400
766,400
767,401
768,402
769,403
770,404
771,405
772,406
773,407
774,407
775,408
776,408
777,408
778,408
779,409
780,409
781,410
782,410
783,410
784,411
785,411
786,412
787,412
148,412
788,413
789,414
790,415
791,415
792,415
793,416
794,416
795,417
796,417
797,418
798,418
799,418
800,418
801,419
802,419
803,420
804,420
805,420
806,420
807,421
808,421
809,421
810,422
811,422
812,422
813,422
814,422
815,423
816,424
803,424
806,424
817,425
818,426
819,426
820,427
821,427
822,427
823,428
824,428
825,428
826,429
827,430
828,431
829,431
830,432
831,433
832,434
833,435
834,435
835,436
836,437
837,437
838,437
839,438
819,438
840,439
841,440
842,440
843,440
844,440
845,441
846,441
847,441
848,441
849,442
850,443
851,444
852,445
853,445
854,445
855,445
856,446
857,446
858,446
859,447
860,447
861,448
862,449
863,449
864,449
865,450
866,451
867,452
868,453
869,455
870,456
871,456
872,457
873,458
874,459
875,459
876,460
877,460
878,461
879,462
880,462
594,463
881,464
882,464
883,464
884,465
885,466
886,466
887,466
888,466
889,467
890,467
891,468
892,469
893,469
894,469
895,469
896,470
897,471
898,471
899,472
869,473
900,474
901,474
902,474
594,475
903,476
876,477
877,477
904,478
905,478
906,478
907,479
908,479
909,479
910,480
911,480
912,481
913,481
914,481
915,481
916,482
917,482
879,483
880,483
918,484
919,484
920,485
921,485
922,485
923,486
924,486
925,486
926,487
927,488
928,488
929,488
930,489
931,489
892,490
893,490
894,490
895,490
932,491
933,492
934,493
935,494
936,495
937,495
938,496
939,496
940,497
941,498
942,499
943,499
944,500
